Year,Location,Crop,Soil_Type,Rainfall_mm,Temperature_C,Humidity_percent,Soil_Moisture_percent,Soil_pH,Area_acre,Yield_ton_ha
2015,Hukkeri,Maize,Black Soil,729.2,26.8,66.9,31.4,6.37,1.15,4.44
2015,Hukkeri,Maize,Red Soil,693.5,26.7,66.0,30.4,6.19,5.76,4.4
2015,Hukkeri,Maize,Red Soil,674.6,29.4,65.3,24.6,6.89,3.05,4.35
2015,Hukkeri,Maize,Black Soil,686.7,30.1,70.5,27.3,6.5,2.48,4.84
2015,Hukkeri,Maize,Black Soil,634.3,23.8,71.7,24.3,6.08,5.14,4.6
2015,Hukkeri,Maize,Red Soil,511.9,24.9,69.8,25.8,6.67,2.25,4.58
2015,Hukkeri,Maize,Black Soil,569.8,28.2,67.1,22.9,6.38,5.76,4.95
2015,Hukkeri,Maize,Black Soil,602.6,25.6,64.5,22.6,5.93,5.3,5.0
2015,Hukkeri,Maize,Black Soil,573.2,22.6,65.8,22.2,7.0,2.51,4.72
2015,Hukkeri,Maize,Black Soil,760.6,25.0,64.0,22.3,5.97,5.32,4.64
2015,Hukkeri,Jowar,Black Soil,493.0,29.6,52.9,19.8,5.86,3.5,2.86
2015,Hukkeri,Jowar,Black Soil,554.6,28.0,46.3,21.3,6.63,1.7,2.96
2015,Hukkeri,Jowar,Red Soil,419.0,26.8,51.5,18.5,6.5,7.57,2.97
2015,Hukkeri,Jowar,Black Soil,448.4,25.5,56.9,26.7,6.79,3.9,3.02
2015,Hukkeri,Jowar,Red Soil,666.8,27.3,54.7,20.9,6.03,4.31,2.61
2015,Hukkeri,Jowar,Black Soil,597.2,31.1,46.2,19.3,6.49,2.93,2.93
2015,Hukkeri,Jowar,Black Soil,572.5,29.4,70.6,20.3,6.52,4.76,3.05
2015,Hukkeri,Jowar,Black Soil,599.1,29.3,68.7,23.8,6.52,4.06,2.91
2015,Hukkeri,Jowar,Black Soil,480.8,32.4,53.7,22.3,5.95,2.01,2.88
2015,Hukkeri,Jowar,Red Soil,379.8,29.9,47.5,27.1,6.25,0.98,2.76
2015,Hukkeri,Paddy,Clay Soil,995.5,25.2,80.5,35.5,6.23,7.29,5.53
2015,Hukkeri,Paddy,Black Soil,1213.1,26.7,77.6,31.6,6.95,4.78,5.55
2015,Hukkeri,Paddy,Black Soil,1108.5,28.5,77.4,35.0,6.22,3.58,5.19
2015,Hukkeri,Paddy,Clay Soil,873.3,20.4,85.8,36.4,6.03,2.36,5.57
2015,Hukkeri,Paddy,Clay Soil,1009.0,25.7,83.2,38.1,6.5,6.56,5.55
2015,Hukkeri,Paddy,Clay Soil,1400,28.6,89.5,25.0,7.01,1.75,4.95
2015,Hukkeri,Paddy,Black Soil,762.3,26.5,83.4,32.6,6.75,7.45,5.14
2015,Hukkeri,Paddy,Black Soil,1042.3,29.3,78.5,27.1,6.19,1.92,5.0
2015,Hukkeri,Paddy,Clay Soil,1319.4,25.4,68.8,32.3,6.83,4.27,5.51
2015,Hukkeri,Paddy,Clay Soil,1289.6,26.9,81.6,32.8,7.03,3.53,5.59
